time,value
2019-01-16 18:00:00,320.0000
2019-01-16 18:05:00,314.0000
2019-01-16 18:10:00,327.0000
2019-01-16 18:15:00,317.0000
2019-01-16 18:20:00,334.0000
2019-01-16 18:25:00,327.0000
2019-01-16 18:30:00,331.0000
2019-01-16 18:35:00,304.0000
2019-01-16 18:40:00,322.0000
2019-01-16 18:45:00,318.0000
2019-01-16 18:50:00,318.0000
2019-01-16 18:55:00,328.0000
2019-01-16 19:00:00,303.0000
2019-01-16 19:05:00,325.0000
2019-01-16 19:10:00,317.0000
2019-01-16 19:15:00,330.0000
2019-01-16 19:20:00,315.0000
2019-01-16 19:25:00,311.0000
2019-01-16 19:30:00,314.0000
2019-01-16 19:35:00,315.0000
2019-01-16 19:40:00,327.0000
2019-01-16 19:45:00,319.0000
2019-01-16 19:50:00,326.0000
2019-01-16 19:55:00,305.0000
2019-01-16 20:00:00,337.0000
2019-01-16 20:05:00,320.0000
2019-01-16 20:10:00,325.0000
2019-01-16 20:15:00,324.0000
2019-01-16 20:20:00,322.0000
2019-01-16 20:25:00,319.0000
2019-01-16 20:30:00,326.0000
2019-01-16 20:35:00,332.0000
2019-01-16 20:40:00,335.0000
2019-01-16 20:45:00,335.0000
2019-01-16 20:50:00,338.0000
2019-01-16 20:55:00,337.0000
2019-01-16 21:00:00,317.0000
2019-01-16 21:05:00,328.0000
2019-01-16 21:10:00,302.0000
2019-01-16 21:15:00,321.0000
2019-01-16 21:20:00,324.0000
2019-01-16 21:25:00,335.0000
2019-01-16 21:30:00,317.0000
2019-01-16 21:35:00,329.0000
2019-01-16 21:40:00,301.0000
2019-01-16 21:45:00,311.0000
2019-01-16 21:50:00,326.0000
2019-01-16 21:55:00,319.0000
2019-01-16 22:00:00,328.0000
2019-01-16 22:05:00,301.0000
2019-01-16 22:10:00,312.0000
2019-01-16 22:15:00,327.0000
2019-01-16 22:20:00,318.0000
2019-01-16 22:25:00,324.0000
2019-01-16 22:30:00,299.0000
2019-01-16 22:35:00,319.0000
2019-01-16 22:40:00,316.0000
2019-01-16 22:45:00,317.0000
2019-01-16 22:50:00,324.0000
2019-01-16 22:55:00,305.0000
2019-01-16 23:00:00,332.0000
2019-01-16 23:05:00,328.0000
2019-01-16 23:10:00,331.0000
2019-01-16 23:15:00,312.0000
2019-01-16 23:20:00,309.0000
2019-01-16 23:25:00,322.0000
2019-01-16 23:30:00,316.0000
2019-01-16 23:35:00,330.0000
2019-01-16 23:40:00,311.0000
2019-01-16 23:45:00,315.0000
2019-01-16 23:50:00,311.0000
2019-01-16 23:55:00,338.0000
2019-01-17 00:00:00,335.0000
2019-01-17 00:05:00,339.0000
2019-01-17 00:10:00,333.0000
2019-01-17 00:15:00,334.0000
2019-01-17 00:20:00,333.0000
2019-01-17 00:25:00,339.0000
